regla,anio,gasto_fpb_mdp,ic95_semiancho
umbral,2026,1819.904,659.748
umbral,2027,3515.742,478.573
umbral,2028,5528.09,788.782
umbral,2029,7376.278,1357.314
umbral,2030,10031.271,1017.313
umbral,2031,9893.244,1023.806
umbral,2032,9806.511,962.983
umbral,2033,9685.606,864.904
umbral,2034,9812.967,968.543
umbral,2035,9947.301,882.744
umbral,2036,10323.082,961.499
umbral,2037,10495.297,1193.588
umbral,2038,10810.687,896.243
umbral,2039,11115.719,1084.587
umbral,2040,11397.317,990.696
umbral,2041,11714.635,943.218
umbral,2042,12172.114,828.45
umbral,2043,12561.568,816.92
umbral,2044,12934.256,708.43
umbral,2045,13345.19,807.462
umbral,2046,13654.024,970.671
umbral,2047,13941.719,987.417
umbral,2048,14267.419,1171.261
umbral,2049,14682.835,1395.402
umbral,2050,14847.527,1626.884
umbral,2051,15284.23,2168.941
umbral,2052,15741.704,2301.41
umbral,2053,16257.347,2627.897
umbral,2054,16683.815,2495.488
umbral,2055,16876.165,2549.698
umbral,2056,17701.802,2515.264
umbral,2057,17970.02,2002.679
umbral,2058,18223.612,2383.641
umbral,2059,18505.134,2675.895
umbral,2060,18600.363,2440.761
umbral,2061,18681.624,2474.983
umbral,2062,18925.907,2447.852
umbral,2063,19113.149,2245.287
umbral,2064,19396.66,2279.109
umbral,2065,19530.232,2200.448
umbral,2066,19832.494,2095.338
umbral,2067,20041.695,2210.004
umbral,2068,20441.871,1803.897
umbral,2069,20496.899,1376.559
umbral,2070,20508.64,1608.353
vpn,2026,1819.904,659.748
vpn,2027,3515.742,478.573
vpn,2028,5528.09,788.782
vpn,2029,7376.278,1357.314
vpn,2030,10031.271,1017.313
vpn,2031,10393.736,952.526
vpn,2032,10884.252,915.624
vpn,2033,11540.136,813.491
vpn,2034,12341.685,1262.201
vpn,2035,13514.961,911.555
vpn,2036,15186.752,1145.376
vpn,2037,16571.277,1129.711
vpn,2038,18228.287,893.553
vpn,2039,19959.58,1235.785
vpn,2040,22073.944,1026.116
vpn,2041,24352.195,1131.91
vpn,2042,26762.037,1061.916
vpn,2043,29550.026,965.535
vpn,2044,32774.873,792.704
vpn,2045,35750.621,1058.002
vpn,2046,39315.687,1384.29
vpn,2047,43348.965,1934.441
vpn,2048,47138.766,2929.602
vpn,2049,51792.707,2807.562
vpn,2050,55495.435,2498.333
vpn,2051,59652.117,2820.414
vpn,2052,64277.908,2706.333
vpn,2053,68781.64,3168.388
vpn,2054,73041.644,2505.767
vpn,2055,76667.346,2904.819
vpn,2056,81777.957,2485.873
vpn,2057,85574.682,3314.112
vpn,2058,89581.71,3790.758
vpn,2059,93509.87,4123.127
vpn,2060,97258.054,3733.229
vpn,2061,101395.952,4479.216
vpn,2062,105034.312,5124.934
vpn,2063,108418.348,5340.999
vpn,2064,111397.444,5140.993
vpn,2065,114139.591,4435.825
vpn,2066,116184.932,3348.119
vpn,2067,118489.046,3853.95
vpn,2068,120484.619,3528.677
vpn,2069,122197.338,3309.577
vpn,2070,123377.828,3164.897
