regla,dimension,categoria,tasa_diferimiento_pct,ic95_semiancho,sd_entre_semillas,n_decisores_pooled,semilla_20260701,semilla_20260702,semilla_20260703,semilla_20260704,semilla_20260705
umbral,total,total,0.0,0.0,0.0,66746,0.0,0.0,0.0,0.0,0.0
umbral,sexo,Hombres,0.0,0.0,0.0,50475,0.0,0.0,0.0,0.0,0.0
umbral,sexo,Mujeres,0.0,0.0,0.0,16271,0.0,0.0,0.0,0.0,0.0
umbral,escolaridad,Básica o menos,0.0,0.0,0.0,8826,0.0,0.0,0.0,0.0,0.0
umbral,escolaridad,Media superior,0.0,0.0,0.0,23204,0.0,0.0,0.0,0.0,0.0
umbral,escolaridad,Superior,0.0,0.0,0.0,34716,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D1,0.0,0.0,0.0,15704,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D2,0.0,0.0,0.0,7119,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D3,0.0,0.0,0.0,6601,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D4,0.0,0.0,0.0,5553,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D5,0.0,0.0,0.0,5375,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D6,0.0,0.0,0.0,9090,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D7,0.0,0.0,0.0,3967,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D8,0.0,0.0,0.0,6998,0.0,0.0,0.0,0.0,0.0
umbral,decil_densidad,D9,0.0,0.0,0.0,6339,0.0,0.0,0.0,0.0,0.0
umbral,murio_difiriendo,% de difirientes muertos antes de 65,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
vpn,total,total,100.0,0.0,0.0,66746,100.0,100.0,100.0,100.0,100.0
vpn,sexo,Hombres,100.0,0.0,0.0,50475,100.0,100.0,100.0,100.0,100.0
vpn,sexo,Mujeres,100.0,0.0,0.0,16271,100.0,100.0,100.0,100.0,100.0
vpn,escolaridad,Básica o menos,100.0,0.0,0.0,8826,100.0,100.0,100.0,100.0,100.0
vpn,escolaridad,Media superior,100.0,0.0,0.0,23204,100.0,100.0,100.0,100.0,100.0
vpn,escolaridad,Superior,100.0,0.0,0.0,34716,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D1,100.0,0.0,0.0,11569,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D2,100.0,0.0,0.0,1831,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D3,100.0,0.0,0.0,6759,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D4,100.0,0.0,0.0,6913,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D5,100.0,0.0,0.0,10535,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D6,100.0,0.0,0.0,4387,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D7,100.0,0.0,0.0,4732,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D8,100.0,0.0,0.0,7212,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D9,100.0,0.0,0.0,6890,100.0,100.0,100.0,100.0,100.0
vpn,decil_densidad,D10,100.0,0.0,0.0,5918,100.0,100.0,100.0,100.0,100.0
vpn,murio_difiriendo,% de difirientes muertos antes de 65,4.59,0.14,0.111,66746,4.73,4.65,4.6,4.52,4.44
