anio,ingresos_mdp,devoluciones_mdp,gasto_fpb_mdp,gasto_stock_mdp,gastos_operativos_mdp,rendimiento_mdp,patrimonio_mdp
2025,0.0,0.0,0.0,0.0,0.0,0.0,53105.0
2026,6200.0,2800.0,1819.9044755039054,191.03526,54.0,2230.4100000000003,56670.4702644961
2027,5890.0,2660.0,3515.742213436212,188.96375189819997,54.0,2380.159751108836,58521.92405027052
2028,5595.5,2527.0,5528.0896285984145,186.77711753310956,54.0,2457.9208101113622,58279.478114250356
2029,5315.724999999999,2400.6499999999996,7376.277517472785,184.46779939313657,54.0,2447.738080798515,56027.54587818295
2030,5049.938749999999,2280.6175,10031.271031453678,182.02814010746334,54.0,2353.1569268836843,50882.72488350549
2031,4797.441812499998,2166.5866249999995,9893.24353923416,179.44782922943992,54.0,2137.074445107231,45523.96314764913
2032,4557.569721874998,2058.2572937499995,9806.510908855902,176.7158699602187,54.0,1912.0064522012635,39898.05524915927
2033,4329.691235781248,1955.3444290624993,9685.60618981518,173.8200120300474,54.0,1675.7183204646894,34034.694174497476
2034,4113.206673992186,1857.5772076093742,9812.967005428556,170.74773939376306,54.0,1429.457155328894,27682.066051386864
2035,3907.546340292576,1764.6983472289055,9947.300528101769,167.48313210032524,54.0,1162.6467741582483,20818.77715840669
2036,3712.169023277948,1676.4634298674603,10323.082199593391,164.00991468205714,54.0,874.3886406530811,13187.779278194808
2037,3526.56057211405,1592.6402583740871,10495.29741245489,160.30946830075663,54.0,553.886729684182,4965.979440863306
2038,3350.232543508347,1513.0082454553826,10810.68724227331,156.35972522133778,54.0,208.57113651625886,-4009.2720920621196
2039,3182.72091633293,1437.3578331826134,11115.718704637884,152.13618397700526,54.0,-168.38942786660903,-13754.153325393301
2040,3023.584870516283,1365.4899415234827,11397.31668862377,147.61213642487144,54.0,-577.6744396665187,-24272.661661115664
2041,2872.405626990469,1297.2154444473085,11714.63464125012,142.75808282784075,54.0,-1019.4517897668579,-35628.31599241732
2042,2728.7853456409453,1232.354672224943,12172.114486413355,137.53999466997624,54.0,-1496.3892716815276,-47991.92907176618
2043,2592.346078358898,1170.7369386136959,12561.568331130056,131.92325563818915,54.0,-2015.6610210141796,-61333.4725398034
2044,2462.7287744409527,1112.200091683011,12934.255593601141,125.87057127413897,54.0,-2576.005846671743,-75673.07586859248
2045,2339.592335718905,1056.5900870988603,13345.19007032273,119.3473513578916,54.0,-3178.2691864808844,-91086.88022813394
2046,2222.6127189329595,1003.7605827439172,13654.024220507747,112.32210160972947,54.0,-3825.648969581626,-107514.023383644
2047,2111.482082986312,953.5725536067215,13941.718529658838,104.77397573688691,54.0,-4515.588982113049,-124972.19534177319
2048,2005.9079788369959,905.8939259263852,14267.41889774713,96.70023882956943,54.0,-5248.832204354474,-143539.13262979375
2049,1905.6125798951462,860.599229630066,14682.835134727484,88.12715650780879,54.0,-6028.643570451338,-163347.72514121525
2050,1810.3319509003888,817.5692681485626,14847.526527060621,78.90412267421728,54.0,-6860.604455931041,-184195.99756412933
2051,1719.8153533553693,776.6908047411346,15284.230078914828,69.22269710411645,54.0,-7736.231897693432,-206396.55768922745
2052,1633.8245856876006,737.8562645040777,15741.704421139202,59.28315858878814,54.0,-8668.655422947553,-230024.23237071946
2053,1552.1333564032204,700.9634512788738,16257.346533397667,49.37683154890554,54.0,-9661.017759570217,-255194.8035901119
2054,1474.5266885830595,665.9152787149301,16683.81548625372,39.857196269853056,54.0,-10718.1817507847,-281882.04661355197
2055,1400.8003541539065,632.6195147791835,16876.165083238702,31.101154952061794,54.0,-11839.045957769184,-309914.1779701372
2056,1330.760336446211,600.9885390402244,17701.802332837407,23.442650831560442,54.0,-13016.395474745765,-339980.04663114593
2057,1264.2223196239004,570.939112088213,17970.019742612116,17.09845636013724,54.0,-14279.16195850813,-371607.04358109063
2058,1201.0112036427054,542.3921564838024,18223.612147391566,12.115757560811648,54.0,-15607.495830405807,-404845.6482692899
2059,1140.96064346057,515.2725486596123,18505.133754790964,8.373361482876314,54.0,-17003.517227310174,-439790.9845180729
2060,1083.9126112875415,489.5089212266316,18600.362987463355,5.6433600169644205,54.0,-18471.221349759064,-476327.8085252514
2061,1029.7169807231644,465.03347516530005,18681.624066951954,3.680535561057409,54.0,-20005.76795806056,-514508.19758026715
2062,978.2311316870062,441.781801407035,18925.90677398737,2.2869700703873863,54.0,-21609.344298371223,-554563.286292416
2063,929.3195751026558,419.69271133668326,19113.14906252722,1.3256580495532568,54.0,-23291.658024281474,-596513.7921735083
2064,882.853596347523,398.7080757698491,19396.659921548388,0.6992423566958976,54.0,-25053.57927128735,-640534.585088123
2065,838.7109165301467,378.77267198135655,19530.231539916356,0.3256469491162577,54.0,-26902.452573701168,-686561.6566041409
2066,796.7753707036394,359.8340383822887,19832.493609878868,0.12852298215990296,54.0,-28835.589577373918,-734846.9269820545
2067,756.9366021684574,341.84233646317426,20041.69488778272,0.040330787663353074,54.0,-30863.57093324629,-785391.1388681658
2068,719.0897720600344,324.7502196400156,20441.871108529715,0.008954945983139511,54.0,-32986.42783246296,-838479.1072116843
2069,683.1352834570328,308.5127086580148,20496.898999766625,0.0010565022733381993,54.0,-35216.12250289074,-893871.507196045
2070,648.9785192841811,293.087073225114,20508.639694793816,0.0001246460654798443,54.0,-37542.603302233896,-951620.8588716596
