anio,ingresos_mdp,devoluciones_mdp,gasto_fpb_mdp,gasto_stock_mdp,gastos_operativos_mdp,rendimiento_mdp,patrimonio_mdp
2025,0.0,0.0,0.0,0.0,0.0,0.0,35689.0
2026,3400.0,0.0,1819.9044755039054,191.03526,54.0,1498.938,38522.9982644961
2027,3230.0,0.0,3515.742213436212,188.96375189819997,54.0,1617.9659271088362,39612.258226270525
2028,3068.5,0.0,5528.0896285984145,186.77711753310956,54.0,1663.714845503362,38575.60632564236
2029,2915.075,0.0,7376.277517472785,184.46779939313657,54.0,1620.1754656769792,35496.11147445341
2030,2769.3212499999995,0.0,10031.271031453678,182.02814010746334,54.0,1490.8366819270434,29488.970234819317
2031,2630.8551874999994,0.0,9893.24353923416,179.44782922943992,54.0,1238.5367498624114,23231.670803718123
2032,2499.3124281249993,0.0,9806.510908855902,176.7158699602187,54.0,975.7301737561612,16669.48662678316
2033,2374.346806718749,0.0,9685.60618981518,173.8200120300474,54.0,700.1184383248927,9830.525669981573
2034,2255.6294663828116,0.0,9812.967005428556,170.74773939376306,54.0,412.88207813922605,2461.322469681292
2035,2142.847993063671,0.0,9947.300528101769,167.48313210032524,54.0,103.37554372661428,-5461.237653730517
2036,2035.7055934104874,0.0,10323.082199593391,164.00991468205714,54.0,-229.37198145668174,-14195.99615605216
2037,1933.920313739963,0.0,10495.29741245489,160.30946830075663,54.0,-596.2318385541907,-23567.914561622034
2038,1837.2242980529647,0.0,10810.68724227331,156.35972522133778,54.0,-989.8524115881255,-33741.589642651845
2039,1745.3630831503165,0.0,11115.718704637884,152.13618397700526,54.0,-1417.1467649913775,-44735.228213107795
2040,1658.0949289928005,0.0,11397.31668862377,147.61213642487144,54.0,-1878.8795849505275,-56554.94169411416
2041,1575.1901825431603,0.0,11714.63464125012,142.75808282784075,54.0,-2375.307551152795,-69266.45178680176
2042,1496.4306734160023,0.0,12172.114486413355,137.53999466997624,54.0,-2909.190975045674,-83042.86656951475
2043,1421.6091397452021,0.0,12561.568331130056,131.92325563818915,54.0,-3487.80039591962,-97856.54941245742
2044,1350.5286827579419,0.0,12934.255593601141,125.87057127413897,54.0,-4109.975075323212,-113730.12196989797
2045,1283.0022486200446,0.0,13345.19007032273,119.3473513578916,54.0,-4776.665122735715,-130742.32226569427
2046,1218.8521361890423,0.0,13654.024220507747,112.32210160972947,54.0,-5491.17753515916,-148834.99398678186
2047,1157.9095293795904,0.0,13941.718529658838,104.77397573688691,54.0,-6251.069747444839,-168028.6467102428
2048,1100.0140529106106,0.0,14267.41889774713,96.70023882956943,54.0,-7057.203161830199,-188403.9549557391
2049,1045.0133502650801,0.0,14682.835134727484,88.12715650780879,54.0,-7912.966108141042,-210096.87000485032
2050,992.7626827518261,0.0,14847.526527060621,78.90412267421728,54.0,-8824.068540203714,-232908.60651203702
2051,943.1245486142348,0.0,15284.230078914828,69.22269710411645,54.0,-9782.161473505555,-257155.09621294728
2052,895.9683211835229,0.0,15741.704421139202,59.28315858878814,54.0,-10800.514040943786,-282914.6295124355
2053,851.1699051243468,0.0,16257.346533397667,49.37683154890554,54.0,-11882.414439522292,-310306.59741178004
2054,808.6114098681294,0.0,16683.81548625372,39.857196269853056,54.0,-13032.877091294762,-339308.5357757302
2055,768.1808393747228,0.0,16876.165083238702,31.101154952061794,54.0,-14250.95850258067,-369752.5796771269
2056,729.7717974059867,0.0,17701.802332837407,23.442650831560442,54.0,-15529.60834643933,-402331.6612098292
2057,693.2832075356873,0.0,17970.019742612116,17.09845636013724,54.0,-16897.92977081283,-436577.4259720786
2058,658.619047158903,0.0,18223.612147391566,12.115757560811648,54.0,-18336.2518908273,-472544.78672069934
2059,625.6880948009579,0.0,18505.133754790964,8.373361482876314,54.0,-19846.881042269375,-510333.4867844416
2060,594.4036900609099,0.0,18600.362987463355,5.6433600169644205,54.0,-21434.006444946546,-549833.0958868075
2061,564.6835055578644,0.0,18681.624066951954,3.680535561057409,54.0,-23092.990027245916,-591100.7070110086
2062,536.449330279971,0.0,18925.90677398737,2.2869700703873863,54.0,-24826.229694462363,-634372.6811192489
2063,509.62686376597253,0.0,19113.14906252722,1.3256580495532568,54.0,-26643.652607008455,-679675.1815830681
2064,484.1455205776739,0.0,19396.659921548388,0.6992423566958976,54.0,-28546.35762648886,-727188.7528528844
2065,459.9382445487901,0.0,19530.231539916356,0.3256469491162577,54.0,-30541.927619821145,-776855.2994150223
2066,436.9413323213506,0.0,19832.493609878868,0.12852298215990296,54.0,-32627.922575430937,-828932.9027909929
2067,415.0942657052831,0.0,20041.69488778272,0.040330787663353074,54.0,-34815.1819172217,-883428.7256610796
2068,394.3395524200189,0.0,20441.871108529715,0.008954945983139511,54.0,-37104.006477765346,-940634.2726499006
2069,374.62257479901797,0.0,20496.898999766625,0.0010565022733381993,54.0,-39506.63945129583,-1000317.1895826664
2070,355.89144605906705,0.0,20508.639694793816,0.0001246460654798443,54.0,-42013.32196247199,-1062537.2599185193
