genero,decil_densidad,decada_retiro,n_pooled,baja_confiabilidad,densidad_media,pct_sin_pension,tr_p10,tr_p25,tr_p50,tr_p75,tr_p90
Hombres,1,2026-2035,2400,False,0.0391,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,1,2036-2045,2009,False,0.0364,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,1,2046-2055,2113,False,0.0431,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,1,2056-2065,2097,False,0.0428,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,1,2066-2070 (parcial),945,False,0.0434,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,2,2026-2035,2561,False,0.0804,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,2,2036-2045,2529,False,0.0807,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,2,2046-2055,2311,False,0.0891,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,2,2056-2065,2257,False,0.0908,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,2,2066-2070 (parcial),1109,False,0.0912,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,3,2026-2035,2614,False,0.1226,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,3,2036-2045,2717,False,0.1213,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,3,2046-2055,3024,False,0.1289,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,3,2056-2065,2955,False,0.1305,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,3,2066-2070 (parcial),1409,False,0.1305,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,4,2026-2035,2248,False,0.1617,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,4,2036-2045,3138,False,0.1612,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,4,2046-2055,3363,False,0.1687,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,4,2056-2065,3519,False,0.1703,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,4,2066-2070 (parcial),1752,False,0.17,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,5,2026-2035,2471,False,0.2001,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,5,2036-2045,2933,False,0.2013,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,5,2046-2055,3680,False,0.209,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,5,2056-2065,3945,False,0.2103,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,5,2066-2070 (parcial),1972,False,0.2105,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,6,2026-2035,2244,False,0.2395,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,6,2036-2045,3249,False,0.2415,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,6,2046-2055,3582,False,0.2486,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,6,2056-2065,4252,False,0.2502,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,6,2066-2070 (parcial),2199,False,0.25,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,7,2026-2035,3155,False,0.2891,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,7,2036-2045,4370,False,0.2915,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,7,2046-2055,5373,False,0.2987,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,7,2056-2065,6522,False,0.3005,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,7,2066-2070 (parcial),3195,False,0.3003,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,8,2026-2035,2789,False,0.3494,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,8,2036-2045,3568,False,0.3498,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,8,2046-2055,4768,False,0.3585,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,8,2056-2065,6086,False,0.3595,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,8,2066-2070 (parcial),3169,False,0.3596,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,9,2026-2035,2781,False,0.4197,100.0,0.0,0.0,0.0,0.0,0.0
Hombres,9,2036-2045,4078,False,0.4198,77.73,0.0,0.0,0.0,0.0,1.0
Hombres,9,2046-2055,5114,False,0.4274,2.29,0.5621,0.8756,1.0,1.0,1.4399
Hombres,9,2056-2065,6643,False,0.4284,0.0,0.5763,0.861,1.0,1.0,1.3883
Hombres,9,2066-2070 (parcial),3587,False,0.4282,0.0,0.5834,0.8381,1.0,1.0,1.3219
Hombres,10,2026-2035,3817,False,0.5708,52.79,0.0,0.0,0.0,1.0,1.0951
Hombres,10,2036-2045,4659,False,0.5627,3.65,0.5381,0.871,1.0,1.0,1.4487
Hombres,10,2046-2055,6253,False,0.5591,0.0,0.6068,0.9042,1.0,1.0,1.4777
Hombres,10,2056-2065,8626,False,0.5643,0.0,0.6334,0.8451,1.0,1.0,1.3514
Hombres,10,2066-2070 (parcial),4507,False,0.562,0.0,0.686,0.846,1.0,1.0,1.3287
Mujeres,1,2026-2035,4681,False,0.0384,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,1,2036-2045,6876,False,0.0344,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,1,2046-2055,8994,False,0.0395,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,1,2056-2065,8907,False,0.0406,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,1,2066-2070 (parcial),4319,False,0.0407,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,2,2026-2035,3757,False,0.0798,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,2,2036-2045,5904,False,0.0792,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,2,2046-2055,6147,False,0.088,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,2,2056-2065,6246,False,0.0901,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,2,2066-2070 (parcial),3006,False,0.0901,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,3,2026-2035,3468,False,0.1214,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,3,2036-2045,4803,False,0.1203,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,3,2046-2055,5761,False,0.1282,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,3,2056-2065,6121,False,0.13,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,3,2066-2070 (parcial),3164,False,0.1296,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,4,2026-2035,2458,False,0.1604,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,4,2036-2045,4422,False,0.1604,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,4,2046-2055,4993,False,0.1681,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,4,2056-2065,5725,False,0.1699,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,4,2066-2070 (parcial),2888,False,0.1701,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,5,2026-2035,2457,False,0.1994,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,5,2036-2045,3517,False,0.2006,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,5,2046-2055,4497,False,0.208,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,5,2056-2065,5342,False,0.2094,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,5,2066-2070 (parcial),2788,False,0.2096,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,6,2026-2035,1884,False,0.2395,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,6,2036-2045,3089,False,0.2407,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,6,2046-2055,3704,False,0.2479,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,6,2056-2065,4632,False,0.2496,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,6,2066-2070 (parcial),2386,False,0.2493,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,7,2026-2035,2251,False,0.2878,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,7,2036-2045,3219,False,0.29,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,7,2046-2055,4397,False,0.297,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,7,2056-2065,5684,False,0.2986,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,7,2066-2070 (parcial),2964,False,0.2985,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,8,2026-2035,1654,False,0.3486,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,8,2036-2045,2107,False,0.3487,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,8,2046-2055,3009,False,0.3562,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,8,2056-2065,3955,False,0.3581,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,8,2066-2070 (parcial),2108,False,0.358,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,9,2026-2035,1292,False,0.4183,100.0,0.0,0.0,0.0,0.0,0.0
Mujeres,9,2036-2045,1911,False,0.4184,78.96,0.0,0.0,0.0,0.0,1.0
Mujeres,9,2046-2055,2265,False,0.4252,2.78,0.5465,0.8747,1.0,1.0,1.4205
Mujeres,9,2056-2065,3200,False,0.4258,0.0,0.5873,0.8819,1.0,1.0,1.4003
Mujeres,9,2066-2070 (parcial),1689,False,0.4258,0.0,0.5866,0.8658,1.0,1.0,1.3726
Mujeres,10,2026-2035,1246,False,0.5548,59.71,0.0,0.0,0.0,1.0,1.0153
Mujeres,10,2036-2045,1430,False,0.5482,4.76,0.4947,0.8551,1.0,1.0,1.4687
Mujeres,10,2046-2055,1658,False,0.5396,0.0,0.6231,0.9154,1.0,1.0,1.4442
Mujeres,10,2056-2065,2178,False,0.541,0.0,0.6163,0.8784,1.0,1.0,1.3913
Mujeres,10,2066-2070 (parcial),1246,False,0.5438,0.0,0.6095,0.7986,1.0,1.0,1.3083
