decil,densidad_min,densidad_max,n_pooled,densidad_media,pct_tr_cero,tr_p10,tr_p25,tr_p50,tr_p75,tr_p90
1,0.02,0.06,43341,0.0392,100.0,0.0,0.0,0.0,0.0,0.0
2,0.0606,0.1,35827,0.0855,100.0,0.0,0.0,0.0,0.0,0.0
3,0.102,0.14,36036,0.1263,100.0,0.0,0.0,0.0,0.0,0.0
4,0.1429,0.18,34506,0.1664,100.0,0.0,0.0,0.0,0.0,0.0
5,0.1818,0.22,33602,0.2063,100.0,0.0,0.0,0.0,0.0,0.0
6,0.2222,0.2609,31221,0.2463,100.0,0.0,0.0,0.0,0.0,0.0
7,0.2619,0.32,41130,0.2961,100.0,0.0,0.0,0.0,0.0,0.0
8,0.3226,0.38,33213,0.3557,100.0,0.0,0.0,0.0,0.0,0.0
9,0.381,0.4651,32560,0.4248,27.43,0.0,0.0,0.992,1.0,1.2386
10,0.4667,1.0,35620,0.5593,8.41,0.456,0.7653,1.0,1.0,1.3679
